source_season,depth_source_format,season,week,game_type,dt,depth_timestamp,team,player_name,espn_id,gsis_id,roster_position,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank,data_split
2019,legacy_weekly,2019,1,REG,,,ARI,D.J. Swearinger,,00-0030566,FS,,Defense,,SS,SS,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Justin Pugh,,00-0030585,G,,Offense,,LG,LG,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Cassius Marsh,,00-0031175,OLB,,Defense,,WILL,WILL,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Maxx Williams,,00-0031558,TE,,Offense,,TE,TE,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Brett Hundley,,00-0031589,QB,,Offense,,QB,QB,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Damiere Byrd,,00-0031868,WR,,Offense,,WR,WR,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Damiere Byrd,,00-0031868,WR,,Special Teams,,KR,KR,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Damiere Byrd,,00-0031868,WR,,Special Teams,,PR,PR,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Jordan Hicks,,00-0032129,ILB,,Defense,,ILB,ILB,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Rodney Gunter,,00-0032131,DE,,Defense,,DE,DE,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,David Johnson,,00-0032187,RB,,Offense,,RB,RB,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,D.J. Humphries,,00-0032222,T,,Offense,,LT,LT,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Justin Murray,,00-0032528,T,,Offense,,LT,LT,,3,training
2019,legacy_weekly,2019,1,REG,,,ARI,Charles Washington,,00-0032560,FS,,Defense,,FS,FS,,3,training
2019,legacy_weekly,2019,1,REG,,,ARI,D.J. Foster,,00-0032577,RB,,Offense,,RB,RB,,3,training
2019,legacy_weekly,2019,1,REG,,,ARI,Joe Walker,,00-0032809,ILB,,Defense,,ILB,ILB,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Kevin Peterson,,00-0032848,CB,,Defense,,CB,CB,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Jonathan Bullard,,00-0033093,DE,,Defense,,DE,DE,,3,training
2019,legacy_weekly,2019,1,REG,,,ARI,Zane Gonzalez,,00-0033862,K,,Special Teams,,K,K,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Haason Reddick,,00-0033875,OLB,,Defense,,ILB,ILB,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Budda Baker,,00-0033890,SS,,Defense,,FS,FS,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Dennis Gardeck,,00-0034473,OLB,,Defense,,ILB,ILB,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Trent Sherfield,,00-0034487,WR,,Offense,,WR,WR,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Ezekiel Turner,,00-0034490,ILB,,Defense,,ILB,ILB,,3,training
2019,legacy_weekly,2019,1,REG,,,ARI,Chris Jones,,00-0034641,CB,,Defense,,CB,CB,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Chase Edmonds,,00-0034681,RB,,Offense,,RB,RB,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Christian Kirk,,00-0034775,WR,,Offense,,WR,WR,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Christian Kirk,,00-0034775,WR,,Special Teams,,PR,PR,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Mason Cole,,00-0034785,C,,Offense,,C,C,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Mason Cole,,00-0034785,C,,Offense,,LG,LG,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Kyler Murray,,00-0035228,QB,,Offense,,QB,QB,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Byron Murphy,,00-0035236,CB,,Defense,,CB,CB,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Zach Allen,,00-0035248,DE,,Defense,,DE,DE,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,KeeSean Johnson,,00-0035287,WR,,Offense,,WR,WR,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Joshua Miles,,00-0035317,T,,Offense,,LT,LT,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Miles Brown,,00-0035486,NT,,Defense,,NT,NT,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Andy Isabella,,00-0035527,WR,,Offense,,WR,WR,,3,training
2019,legacy_weekly,2019,1,REG,,,ARI,Andy Isabella,,00-0035527,WR,,Special Teams,,KR,KR,,1,training
2019,legacy_weekly,2019,1,REG,,,ARI,Deionte Thompson,,00-0035532,SS,,Defense,,SS,SS,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Lamont Gaillard,,00-0035536,C,,Offense,,LG,LG,,3,training
2019,legacy_weekly,2019,1,REG,,,ARI,Michael Dogbe,,00-0035541,DE,,Defense,,DE,DE,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Jalen Thompson,,00-0035705,FS,,Defense,,FS,FS,,2,training
2019,legacy_weekly,2019,1,REG,,,ARI,Brett Toth,,00-0035743,T,,Offense,,RT,RT,,2,training
2019,legacy_weekly,2019,1,REG,,,ATL,Matt Bryant,,00-0020578,K,,Special Teams,,K,K,,1,training
2019,legacy_weekly,2019,1,REG,,,ATL,Matt Schaub,,00-0022787,QB,,Offense,,QB,QB,,2,training
2019,legacy_weekly,2019,1,REG,,,ATL,Matt Ryan,,00-0026143,QB,,Offense,,QB,QB,,1,training
2019,legacy_weekly,2019,1,REG,,,ATL,Alex Mack,,00-0026997,C,,Offense,,C,C,,1,training
2019,legacy_weekly,2019,1,REG,,,ATL,Julio Jones,,00-0027944,WR,,Offense,,WR,WR,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Andy Lee,,00-0022824,P,,Special Teams,,H,H,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Andy Lee,,00-0022824,P,,Special Teams,,P,P,,1,training
