season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,field_goals_made,field_goals_attempted,field_goals_missed,field_goals_blocked,field_goals_made_0_19,field_goals_made_20_29,field_goals_made_30_39,field_goals_made_40_49,field_goals_made_50_59,field_goals_made_60_plus,extra_points_made,extra_points_attempted,extra_points_missed,extra_points_blocked,espn_fantasy_points,yahoo_fantasy_points
2025,15,2025_15_BAL_CIN,2025-12-14,00-0040074,Tyler Loop,K,BAL,CIN,1,1,0,0,0,1,0,0,0,0,3,3,0,0,6.0,6.0
2025,15,2025_15_BAL_CIN,2025-12-14,00-0036854,Evan McPherson,K,CIN,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025,15,2025_15_BUF_NE,2025-12-14,00-0023853,Matt Prater,K,BUF,NE,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5.0,5.0
2025,15,2025_15_BUF_NE,2025-12-14,00-0040200,Andy Borregales,K,NE,BUF,1,1,0,0,0,0,1,0,0,0,4,4,0,0,7.0,7.0
2025,15,2025_15_CAR_NO,2025-12-14,00-0040279,Ryan Fitzgerald,K,CAR,NO,1,1,0,0,0,0,0,1,0,0,2,2,0,0,6.0,6.0
2025,15,2025_15_CAR_NO,2025-12-14,00-0039229,Charlie Smyth,K,NO,CAR,2,2,0,0,0,0,0,2,0,0,2,2,0,0,10.0,10.0
2025,15,2025_15_CLE_CHI,2025-12-14,00-0031203,Cairo Santos,K,CHI,CLE,1,2,1,0,0,0,0,1,0,0,4,4,0,0,7.0,8.0
2025,15,2025_15_CLE_CHI,2025-12-14,00-0038428,Andre Szmyt,K,CLE,CHI,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,5.0
2025,15,2025_15_DET_LA,2025-12-14,00-0039172,Jake Bates,K,DET,LA,2,3,1,0,0,1,0,1,0,0,4,4,0,0,10.0,11.0
2025,15,2025_15_DET_LA,2025-12-14,00-0039498,Harrison Mevis,K,LA,DET,2,2,0,0,0,0,1,1,0,0,5,5,0,0,12.0,12.0
2025,15,2025_15_GB_DEN,2025-12-14,00-0032569,Wil Lutz,K,DEN,GB,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4.0,4.0
2025,15,2025_15_GB_DEN,2025-12-14,00-0029822,Brandon McManus,K,GB,DEN,4,4,0,0,0,1,2,0,1,0,2,2,0,0,16.0,16.0
2025,15,2025_15_IND_SEA,2025-12-14,00-0038905,Blake Grupe,K,IND,SEA,3,3,0,0,0,0,0,1,1,1,1,1,0,0,16.0,15.0
2025,15,2025_15_IND_SEA,2025-12-14,00-0031492,Jason Myers,K,SEA,IND,6,6,0,0,0,0,2,2,2,0,0,0,0,0,24.0,24.0
2025,15,2025_15_LAC_KC,2025-12-14,00-0033303,Harrison Butker,K,KC,LAC,2,2,0,0,0,1,0,1,0,0,1,1,0,0,8.0,8.0
2025,15,2025_15_LAC_KC,2025-12-14,00-0037224,Cameron Dicker,K,LAC,KC,3,3,0,0,0,1,0,2,0,0,1,1,0,0,12.0,12.0
2025,15,2025_15_LV_PHI,2025-12-14,00-0034161,Daniel Carlson,K,LV,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2025,15,2025_15_LV_PHI,2025-12-14,00-0033787,Jake Elliott,K,PHI,LV,1,1,0,0,0,1,0,0,0,0,4,4,0,0,7.0,7.0
2025,15,2025_15_MIA_PIT,2025-12-15,00-0036816,Riley Patterson,K,MIA,PIT,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.0,5.0
2025,15,2025_15_MIA_PIT,2025-12-15,00-0031136,Chris Boswell,K,PIT,MIA,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4.0,4.0
2025,15,2025_15_MIN_DAL,2025-12-14,00-0037692,Brandon Aubrey,K,DAL,MIN,4,6,2,0,0,1,1,2,0,0,2,2,0,0,14.0,16.0
2025,15,2025_15_MIN_DAL,2025-12-14,00-0039404,Will Reichard,K,MIN,DAL,2,2,0,0,0,1,0,0,1,0,4,4,0,0,12.0,12.0
2025,15,2025_15_NYJ_JAX,2025-12-14,00-0039409,Cam Little,K,JAX,NYJ,2,2,0,0,0,1,1,0,0,0,6,6,0,0,12.0,12.0
2025,15,2025_15_NYJ_JAX,2025-12-14,00-0025565,Nick Folk,K,NYJ,JAX,2,2,0,0,0,0,0,1,1,0,2,2,0,0,11.0,11.0
2025,15,2025_15_TEN_SF,2025-12-14,00-0034173,Eddy Pineiro,K,SF,TEN,3,3,0,0,0,0,2,1,0,0,4,4,0,0,14.0,14.0
2025,15,2025_15_TEN_SF,2025-12-14,00-0035192,Joey Slye,K,TEN,SF,1,2,1,0,0,1,0,0,0,0,3,3,0,0,5.0,6.0
2025,15,2025_15_WAS_NYG,2025-12-14,00-0033702,Younghoe Koo,K,NYG,WAS,0,2,2,0,0,0,0,0,0,0,3,3,0,0,1.0,3.0
2025,15,2025_15_WAS_NYG,2025-12-14,00-0038562,Jake Moody,K,WAS,NYG,3,3,0,0,0,0,1,2,0,0,2,3,1,0,13.0,13.0
2025,16,2025_16_ATL_ARI,2025-12-21,00-0038567,Chad Ryland,K,ARI,ATL,4,6,2,0,0,1,1,0,2,0,1,1,0,0,15.0,17.0
2025,16,2025_16_ATL_ARI,2025-12-21,00-0033862,Zane Gonzalez,K,ATL,ARI,2,2,0,0,0,0,0,2,0,0,2,3,0,1,10.0,10.0
2025,16,2025_16_BUF_CLE,2025-12-21,00-0034084,Mike Badgley,K,BUF,CLE,1,1,0,0,0,0,0,1,0,0,2,3,1,0,6.0,6.0
