season,week,game_id,game_date,team,opponent,sacks,interceptions,fumble_recoveries,defensive_touchdowns,special_teams_touchdowns,blocked_kicks,safeties,points_allowed,yards_allowed,espn_fantasy_points,yahoo_fantasy_points
2025,2,2025_02_LA_TEN,2025-09-14,TEN,LA,1,1,0,0,0,1,0,33.0,455,-1.0,4.0
2025,2,2025_02_NE_MIA,2025-09-14,MIA,NE,3,0,0,0,1,0,0,33.0,371,7.0,8.0
2025,2,2025_02_NE_MIA,2025-09-14,NE,MIA,5,1,0,0,1,0,0,27.0,394,12.0,13.0
2025,2,2025_02_NYG_DAL,2025-09-14,DAL,NYG,3,1,0,0,0,0,0,37.0,562,-5.0,1.0
2025,2,2025_02_NYG_DAL,2025-09-14,NYG,DAL,3,1,0,0,0,0,0,40.0,514,-4.0,1.0
2025,2,2025_02_PHI_KC,2025-09-14,KC,PHI,2,0,0,0,0,0,0,20.0,230,4.0,3.0
2025,2,2025_02_PHI_KC,2025-09-14,PHI,KC,2,1,0,0,0,0,0,17.0,322,5.0,5.0
2025,2,2025_02_SEA_PIT,2025-09-14,PIT,SEA,2,2,0,0,0,0,0,31.0,429,2.0,5.0
2025,2,2025_02_SEA_PIT,2025-09-14,SEA,PIT,3,2,0,0,1,0,0,17.0,307,14.0,14.0
2025,2,2025_02_SF_NO,2025-09-14,NO,SF,3,0,1,0,0,0,0,26.0,368,4.0,5.0
2025,2,2025_02_SF_NO,2025-09-14,SF,NO,3,0,1,0,0,0,0,21.0,349,5.0,5.0
2025,2,2025_02_TB_HOU,2025-09-15,HOU,TB,4,0,0,0,0,1,0,20.0,408,3.0,7.0
2025,2,2025_02_TB_HOU,2025-09-15,TB,HOU,3,0,0,0,0,0,0,19.0,316,3.0,4.0
2025,2,2025_02_WAS_GB,2025-09-11,GB,WAS,4,0,0,0,0,0,0,18.0,272,6.0,5.0
2025,2,2025_02_WAS_GB,2025-09-11,WAS,GB,2,0,0,0,0,0,0,27.0,450,-3.0,2.0
2025,3,2025_03_ARI_SF,2025-09-21,ARI,SF,1,1,0,0,0,0,0,16.0,359,3.0,4.0
2025,3,2025_03_ARI_SF,2025-09-21,SF,ARI,1,0,0,0,0,0,0,15.0,270,4.0,2.0
2025,3,2025_03_ATL_CAR,2025-09-21,ATL,CAR,1,0,1,0,0,0,0,24.0,238,5.0,3.0
2025,3,2025_03_ATL_CAR,2025-09-21,CAR,ATL,0,2,1,1,0,0,0,0.0,332,17.0,22.0
2025,3,2025_03_CIN_MIN,2025-09-21,CIN,MIN,3,0,0,0,0,0,0,36.0,390,-1.0,-1.0
2025,3,2025_03_CIN_MIN,2025-09-21,MIN,CIN,4,2,3,2,0,0,0,10.0,215,31.0,30.0
2025,3,2025_03_DAL_CHI,2025-09-21,CHI,DAL,2,3,1,0,0,0,0,14.0,430,8.0,11.0
2025,3,2025_03_DAL_CHI,2025-09-21,DAL,CHI,0,0,0,0,0,0,0,31.0,385,-2.0,-1.0
2025,3,2025_03_DEN_LAC,2025-09-21,DEN,LAC,5,1,1,0,0,0,0,23.0,436,6.0,9.0
2025,3,2025_03_DEN_LAC,2025-09-21,LAC,DEN,2,0,0,0,0,0,0,20.0,277,4.0,3.0
2025,3,2025_03_DET_BAL,2025-09-22,BAL,DET,0,0,0,0,0,0,0,38.0,426,-6.0,-4.0
2025,3,2025_03_DET_BAL,2025-09-22,DET,BAL,7,0,1,0,0,0,0,30.0,428,5.0,8.0
2025,3,2025_03_GB_CLE,2025-09-21,CLE,GB,5,1,0,0,0,1,0,10.0,298,14.0,13.0
2025,3,2025_03_GB_CLE,2025-09-21,GB,CLE,2,1,0,0,0,0,0,13.0,255,9.0,8.0
2025,3,2025_03_HOU_JAX,2025-09-21,HOU,JAX,2,1,0,0,0,0,0,17.0,325,5.0,5.0
2025,3,2025_03_HOU_JAX,2025-09-21,JAX,HOU,2,2,1,0,0,0,0,10.0,311,11.0,12.0
2025,3,2025_03_IND_TEN,2025-09-21,IND,TEN,4,1,0,1,0,1,0,20.0,328,14.0,15.0
2025,3,2025_03_IND_TEN,2025-09-21,TEN,IND,0,0,0,0,0,0,0,35.0,365,-4.0,-4.0
2025,3,2025_03_KC_NYG,2025-09-21,KC,NYG,2,2,0,0,0,1,0,9.0,299,13.0,12.0
2025,3,2025_03_KC_NYG,2025-09-21,NYG,KC,2,0,0,0,0,0,0,22.0,352,1.0,2.0
2025,3,2025_03_LA_PHI,2025-09-21,LA,PHI,4,0,1,0,0,0,0,33.0,336,5.0,5.0
2025,3,2025_03_LA_PHI,2025-09-21,PHI,LA,1,1,0,0,1,2,0,26.0,356,12.0,13.0
2025,3,2025_03_LV_WAS,2025-09-21,LV,WAS,1,0,1,0,0,0,0,41.0,416,-3.0,-1.0
2025,3,2025_03_LV_WAS,2025-09-21,WAS,LV,5,0,0,0,1,0,0,24.0,410,8.0,11.0
2025,3,2025_03_MIA_BUF,2025-09-18,BUF,MIA,0,1,0,0,0,0,0,21.0,276,4.0,2.0
2025,3,2025_03_MIA_BUF,2025-09-18,MIA,BUF,2,0,0,0,0,0,1,31.0,380,2.0,3.0
2025,3,2025_03_NO_SEA,2025-09-21,NO,SEA,0,0,1,0,0,0,0,44.0,320,-1.0,-2.0
2025,3,2025_03_NO_SEA,2025-09-21,SEA,NO,2,1,0,0,1,1,0,13.0,310,15.0,16.0
2025,3,2025_03_NYJ_TB,2025-09-21,NYJ,TB,1,0,0,0,1,1,0,23.0,363,8.0,9.0
2025,3,2025_03_NYJ_TB,2025-09-21,TB,NYJ,4,1,1,1,0,0,0,27.0,325,14.0,14.0
2025,3,2025_03_PIT_NE,2025-09-21,NE,PIT,0,1,0,0,0,0,0,21.0,203,4.0,2.0
2025,3,2025_03_PIT_NE,2025-09-21,PIT,NE,5,1,4,0,0,0,0,14.0,405,13.0,16.0
2025,4,2025_04_BAL_KC,2025-09-28,BAL,KC,1,0,0,0,0,0,0,37.0,394,-3.0,-3.0
2025,4,2025_04_BAL_KC,2025-09-28,KC,BAL,3,1,1,0,0,0,0,20.0,370,6.0,8.0
2025,4,2025_04_CAR_NE,2025-09-28,CAR,NE,1,0,0,0,0,0,0,42.0,307,-2.0,-3.0
